,Rank,Name,Market Cap,Price,Today,Country
776,777,Onion Global,$39.41 M,$0.38,1.32%,China
777,778,American Virtual Cloud,$39.14 M,$0.31,8.58%,USA
778,779,ATARI,$38.58 M,$0.13,0.00%,France
779,780,Cyngn,$34.63 M,$1.03,9.46%,USA
780,781,Foresight Autonomous Holdings,$33.8 M,$0.52,1.43%,Israel
781,782,Treasure Global,$33.56 M,$1.96,3.16%,Malaysia
782,783,Waitr Holdings,$33.52 M,$0.18,3.66%,USA
783,784,RealNetworks,$32.78 M,$0.69,0.45%,USA
784,785,Exela Technologies,$32.53 M,$0.50,2.20%,USA
785,786,Shapeways,$32.32 M,$0.66,2.52%,USA
786,787,Remark Holdings,$31.31 M,$0.30,1.03%,USA
787,788,Sphere 3D,$30.45 M,$0.46,7.51%,Canada
788,789,Appirits,$28.65 M,$7.19,0.68%,Japan
789,790,SOS Limited,$26.71 M,$4.69,4.87%,China
790,791,Super League Gaming,$25.58 M,$0.68,4.08%,USA
791,792,Quanergy Systems,$25.03 M,$0.21,0.10%,USA
792,793,Marpai,$23.78 M,$1.15,3.36%,USA
793,794,BIT Mining (500.com),$23.68 M,$0.26,8.77%,China
794,795,Inpixon,$22.79 M,$0.14,21.50%,USA
795,796,Marin Software,$22.67 M,$1.42,0.70%,USA
796,797,Silicon Studio,$22.03 M,$7.71,0.98%,Japan
797,798,NJ Holdings,$21.42 M,$4.05,0.86%,Japan
798,799,The9,$21.21 M,$0.92,1.61%,China
799,800,SeaChange,$21.12 M,$0.42,2.18%,USA
800,801,Cryptyde,$20.94 M,$0.67,3.10%,USA
801,802,Stronghold Digital Mining,$20.49 M,$1.02,7.27%,USA
802,803,Trust Stamp,$20.36 M,$0.83,7.53%,USA
803,804,Ekso Bionics,$19.4 M,$1.49,6.88%,USA
804,805,Missfresh,$19.37 M,$0.08000,3.18%,China
805,806,WonderPlanet,$18.23 M,$8.48,5.25%,Japan
806,807,OLB Group,$15.87 M,$1.08,1.89%,USA
807,808,ADVFN,$15.6 M,$56.82,1.87%,UK
808,809,Advanced Human Imaging,$15.26 M,$0.61,4.34%,Australia
809,810,Socket Mobile,$15.2 M,$2.13,7.39%,USA
810,811,BIO-key International,$12.59 M,$1.49,1.97%,USA
811,812,Jump Networks,$11.66 M,$0.12,1.13%,India
812,813,Rail Vision,$11.12 M,$0.70,4.11%,Israel
813,814,Kidpik,$10.84 M,$1.41,10.76%,USA
814,815,AppTech Payments,$10.68 M,$0.65,3.18%,USA
